Date,Product,Category,Price,Quantity Sold,Total Sales
2024-01-05,Apple,Fruits,1.5,100,150.0
2024-01-06,Banana,Fruits,0.5,200,100.0
2024-01-07,Shirt,Clothing,25.0,30,750.0
2024-01-08,Jeans,Clothing,50.0,20,1000.0
2024-01-09,Laptop,Electronics,800.0,5,4000.0
2024-01-10,Phone,Electronics,600.0,8,4800.0
2024-01-11,Orange,Fruits,1.2,150,180.0
2024-01-12,Jacket,Clothing,75.0,15,1125.0
2024-01-13,Tablet,Electronics,400.0,10,4000.0
2024-01-14,Grapes,Fruits,2.0,80,160.0
2024-02-01,Apple,Fruits,1.5,120,180.0
2024-02-02,Banana,Fruits,0.5,180,90.0
2024-02-03,Shirt,Clothing,25.0,40,1000.0
2024-02-04,Laptop,Electronics,800.0,7,5600.0
2024-02-05,Phone,Electronics,600.0,12,7200.0
2024-02-06,Orange,Fruits,1.2,130,156.0
2024-02-07,Jeans,Clothing,50.0,25,1250.0
2024-02-08,Tablet,Electronics,400.0,8,3200.0
2024-02-09,Jacket,Clothing,75.0,18,1350.0
2024-02-10,Grapes,Fruits,2.0,60,120.0
2024-03-01,Apple,Fruits,1.5,90,135.0
2024-03-02,Phone,Electronics,600.0,15,9000.0
2024-03-03,Shirt,Clothing,25.0,35,875.0
2024-03-04,Laptop,Electronics,800.0,6,4800.0
2024-03-05,Banana,Fruits,0.5,220,110.0
2024-03-06,Jeans,Clothing,50.0,22,1100.0
2024-03-07,Orange,Fruits,1.2,140,168.0
2024-03-08,Tablet,Electronics,400.0,12,4800.0
2024-03-09,Jacket,Clothing,75.0,20,1500.0
2024-03-10,Grapes,Fruits,2.0,70,140.0
